531,Full Transformer,LSTM,Transformer Encoder,Full Transformer
354,0.64667818,0.749001652,0.709712595,66.66666667
355,0.64717114,0.749732107,0.709778428,66.85499058
356,0.650467724,0.750332728,0.709893763,67.0433145
357,0.65137288,0.750724629,0.710122317,67.23163842
358,0.65174982,0.750845939,0.711525738,67.41996234
359,0.652116597,0.751280308,0.711559653,67.60828625
360,0.652347475,0.751321003,0.711690456,67.79661017
361,0.652960211,0.752227381,0.711722136,67.98493409
362,0.653602183,0.752446249,0.713262826,68.173258
363,0.654313684,0.753012002,0.713344783,68.36158192
364,0.65605554,0.754032731,0.713632852,68.54990584
365,0.657777697,0.754373163,0.713695347,68.73822976
